,company_founded,company_location,company_industry,company_name
116,1689,Stockholm,Industrials,Husqvarna Group
117,1944,Hudiksvall,Industrials,Hydrauliska Industri AB
118,1983,Uppsala,Technology,IAR Systems
119,1938,Stockholm,Consumer services,ICA Gruppen
120,1983,LinkÃ¶ping,Technology,IFS AB
121,1995,MalmÃ¶,Financials,Ikano Bank
122,2007,Uppsala,Technology,IMINT Image Intelligence AB
123,2010,Solna,Industrials,Infranord
124,2001,Stockholm,Technology,Ingate Systems
125,2001,Stockholm,Technology,Intertex
126,1984,Gothenburg,Financials,Investment AB Latour
127,1961,Stockholm,Financials,Investment AB Ãresund
128,1916,Stockholm,Financials,Investor AB
129,1983,MalmÃ¶,Consumer goods,IsaDora
130,2011,Stockholm,Technology,iZettle
131,1997,Stockholm,Consumer goods,J.Lindeberg
132,1992,Stockholm,Technology,Jeeves
133,2001,Stockholm,Industrials,Jernhusen
134,1926,Malung,Consumer goods,Jofa
135,1832,Jonsered,Industrials,Jonsereds Fabrikers AB
136,1936,Stockholm,Financials,Kinnevik AB
137,2005,Stockholm,Consumer services,Klarna
138,1840,MalmÃ¶,Industrials,Kockums Naval Solutions
139,1994,Ãngelholm,Consumer goods,Koenigsegg
140,1899,Stockholm,Consumer services,Kooperativa FÃ¶rbundet
141,1882,Kopparberg,Consumer goods,Kopparbergs Brewery
142,1742,Kosta,Industrials,Kosta Glasbruk
143,1836,Halmstad,Consumer goods,KrÃ¶nleins
144,1929,JÃ¤rna,Consumer goods,KungsÃ¶rnen
145,1944,Stockholm,Financials,L E LundbergfÃ¶retagen
146,1801,Stockholm,Financials,LÃ¤nsfÃ¶rsÃ¤kringar
147,1996,Stockholm,Financials,LÃ¤nsfÃ¶rsÃ¤kringar Bank
148,2001,Stockholm,Consumer goods,LantmÃ¤nnen
149,2011,Stockholm,Consumer services,LeoVegas
150,1954,Gothenburg,Consumer services,Lindex
151,1957,Stockholm,Consumer services,Linjeflyg
152,1890,LuleÃ¥,Basic materials,LKAB
153,1997,Stockholm,Industrials,Loomis
154,2001,Stockholm,Oil & gas,Lundin Petroleum
155,1923,Motala,Consumer goods,Luxor AB
156,2009,Uppsala,Technology,MachineGames
157,1861,VÃ¤sterÃ¥s,Utilities,MÃ¤larenergi
158,2001,Stockholm,Consumer services,Maratone Studios
159,1997,MalmÃ¶,Technology,Massive Entertainment
160,1982,Gothenburg,Technology,Mecel
161,1954,Solna,Health care,Meda AB
162,2009,TÃ¤by,Basic materials,Micromy
163,1987,Stockholm,Consumer services,Modern Times Group
164,2009,Stockholm,Technology,Mojang
165,1849,Gothenburg,Health care,MÃ¶lnlycke Health Care
166,1908,Vansbro,Consumer goods,Monark
167,1995,Uppsala,Technology,MySQL AB
168,1971,HenÃ¥n,Consumer goods,Najad Yachts
169,2004,Kista,Technology,Nanoradio
170,2003,Stockholm,Financials,Nasdaq Nordic
171,1988,Solna,Industrials,NCC AB
172,2006,Gothenburg,Consumer services,Neogames
173,2001,Stockholm,Telecommunications,Neonode
174,2002,Stockholm,Consumer services,Nextjet
175,1996,Stockholm,Consumer goods,Nobia
176,1999,Stockholm,Consumer services,Nobina
177,1916,TrollhÃ¤ttan,Industrials,NOHAB
178,1864,Stockholm,Consumer services,Nordiska Kompaniet
179,1890,Stockholm,Conglomerates,Nordstjernan
180,2000,Stockholm,Industrials,NorthStar
181,2001,Gothenburg,Consumer goods,Nudie Jeans
182,1829,TorshÃ¤lla,Basic materials,Nyby bruk
183,1987,Stockholm,Technology,Nyfors
184,1928,Stockholm,Oil & gas,Nynas
185,2002,Stockholm,Consumer goods,Odd Molly
186,1976,Upplands VÃ¤sby,Consumer goods,Ãhlins
187,1971,Upplands VÃ¤sby,Consumer services,Onoff
188,1995,Uppsala,Health care,Orexo
189,1967,Stockholm,Consumer goods,Oriflame
190,1898,Orrefors,Industrials,Orrefors glassworks
191,1863,Oskarshamn,Industrials,Oskarshamn Shipyard
192,1969,Stockholm,Basic materials,Ovako
193,1878,MalmÃ¶,Consumer goods,PÃ¥gen
194,1999,Stockholm,Technology,Paradox Interactive
195,1959,FÃ¶rslÃ¶v,Industrials,Peab
196,2004,Stockholm,Technology,Peltarion
197,1971,Uppsala,Health care,Phadia
198,1911,Stockholm,Health care,Pharmacia
199,1972,Ãlvsbyn,Consumer goods,PolarbrÃ¶d
200,2009,Solna,Industrials,PostNord
201,1636,Solna,Industrials,PostNord Sverige
202,1892,Stockholm,Consumer goods,Primus AB
203,1828,Gothenburg,Consumer goods,Pripps
204,1968,Stockholm,Industrials,Profoto
205,1997,Stockholm,Industrials,PS Communication
206,1933,Stockholm,Financials,Ratos
207,1991,Helsingborg,Technology,ReadSoft
208,1995,Haninge,Health care,Recipharm
209,1947,Gothenburg,Consumer services,Rederi AB Slite
210,2005,LinkÃ¶ping,Technology,Remograph
211,2001,Helsingborg,Financials,Resurs Holding
212,1945,TrollhÃ¤ttan,Consumer goods,Saab Automobile
213,1937,Stockholm,Industrials,Saab Group
214,1992,Stockholm,Technology,SamLogic
215,1862,Stockholm,Industrials,Sandvik
216,1946,Solna,Consumer services,SAS Group
217,1929,Stockholm,Basic materials,SCA
218,2000,Lund,Technology,Scalado
219,1963,Stockholm,Consumer services,Scandic Hotels
220,1891,SÃ¶dertÃ¤lje,Consumer goods,Scania AB
221,1999,MalmÃ¶,Technology,Seavus
222,1972,Stockholm,Financials,SEB Group
223,2003,LidkÃ¶ping,Technology,Sector3 Studios
224,1934,Stockholm,Industrials,Securitas
225,1988,MalmÃ¶,Industrials,Securitas Direct
226,1980,Gothenburg,Industrials,Semcon
227,1919,Stockholm,Consumer services,SF Studios
228,1951,Gothenburg,Consumer services,SIBA
229,1932,Stockholm,Consumer goods,Silva compass
230,2010,MalmÃ¶,Technology,Simogo
231,2001,Stockholm,Consumer services,SJ AB
232,1855,Stockholm,Financials,Skandia
233,1864,Gothenburg,Financials,Skandinaviska Banken
234,1887,Stockholm,Industrials,Skanska
235,1906,SkellefteÃ¥,Utilities,SkellefteÃ¥ Kraft
236,1907,Gothenburg,Industrials,SKF
237,2005,Gothenburg,Technology,Skygoblin
238,1999,Gothenburg,Technology,Smart Eye
239,1938,VÃ¤xjÃ¶,Basic materials,SÃ¶dra
240,1918,Gothenburg,Industrial,Specma
241,1897,Stockholm,Consumer goods,Spendrups
242,2006,Stockholm,Technology,Spotify
243,1938,Stockholm,Consumer services,SR International â Radio Sweden
244,1978,Stockholm,Basic materials,SSAB
245,1998,Stockholm,Technology,Starbreeze Studios
246,1962,Gothenburg,Consumer services,Stena Line
247,1939,Gothenburg,Conglomerates,Stena Sphere
248,1934,Eskilstuna,Consumer goods,Stiga
249,1863,Stockholm,Financials,Stockholm Stock Exchange
250,1856,Stockholm,Financials,Stockholms Enskilda Bank
251,1947,NykÃ¶ping,Utilities,Studsvik
252,1956,Stockholm,Consumer services,Sveriges Television
253,1997,Stockholm,Industrials,Sweco
254,1820,Stockholm,Financials,Swedbank
255,1915,Stockholm,Consumer goods,Swedish Match
256,,Stockholm,Livestock,Swedish Meats
257,2001,Stockholm,Health care,Swedish Orphan Biovitrum
258,1972,Solna,Industrials,Swedish Space Corporation
259,2005,Gothenburg,Industrials,Swegon
260,1989,Stockholm,Telecommunications,Symsoft
261,1990,Stockholm,Technology,Syncron International AB
262,2004,MalmÃ¶,Technology,Tarsier Studios
263,1993,Stockholm,Telecommunications,Tele2
264,1983,MalmÃ¶,Technology,Telelogic
265,2003,Stockholm,Telecommunications,Telia Company
266,1992,Stockholm,Consumer services,Teracom
267,2004,Lund,Telecommunications,TerraNet AB
268,1951,Lund,Industrials,Tetra Pak
269,1942,Hillerstorp,Consumer goods,Thule Group
270,1999,Stockholm,Technology,Tradedoubler
271,2000,Stockholm,Telecommunications,Transmode
272,1905,Trelleborg,Industrials,Trelleborg
273,2009,Stockholm,Technology,Truecaller
274,2008,Stockholm,Financials,Trustly
275,1984,Stockholm,Consumer services,TV4 Group
276,1668,Hagfors,Basic materials,Uddeholms AB
277,1887,UmeÃ¥,Utilities,UmeÃ¥ Energi
278,2009,Stockholm,Consumer goods,Urbanears
279,1917,Stockholm,Consumer goods,V&S Group
280,1891,SÃ¶dertÃ¤lje,Industrials,Vabis
281,1909,Stockholm,Utilities,Vattenfall
282,1969,Alvesta,Basic materials,Vida AB
283,1927,Gothenburg,Industrials,Volvo
284,1968,Gothenburg,Industrials,Volvo Buses
285,2001,Gothenburg,Financials,Volvo Financial Services
286,1907,SkÃ¶vde,Consumer goods,Volvo Penta
287,1928,Gothenburg,Industrials,Volvo Trucks
288,1872,Huskvarna,Consumer goods,VSM Group
289,1934,Stockholm,Industrials,Wallenius Lines
290,1919,SkellefteÃ¥,Consumer goods,WasabrÃ¶d
291,1994,Stockholm,Consumer services,Wayne's Coffee
292,1999,Stockholm,Consumer goods,WESC
293,1994,MalmÃ¶,Consumer services,WG Film
294,1969,Stockholm,Technology,WM-data
295,2003,Stockholm,Consumer services,X5 Music Group
296,2007,Barcelona,Technology,3scale
297,1941,Seville,Conglomerates,Abengoa
298,2003,Barcelona,Conglomerates,Abertis
299,1997,Alcobendas,Industrials,Acciona
300,1970,Madrid,Basic materials,Acerinox
301,1997,Madrid,Industrials,ACS Group
302,1980,Madrid,Consumer services,Afinsa
303,2011,Barcelona,Technology,Akamon Entertainment
304,1943,Barcelona,Health care,Almirall
305,1987,Madrid,Technology,Amadeus IT Group
306,1944,Fene,Industrials,Astilleros y Talleres del Noroeste
307,1988,San SebastiÃ¡n de los Reyes,Consumer services,Atresmedia
308,1947,Zaragoza,Consumer goods,Balay
309,1857,Bilbao,Financials,Banco Bilbao Vizcaya Argentaria
310,1926,Madrid,Financials,Banco Popular EspaÃ±ol
311,1881,Sabadell,Financials,Banco Sabadell
312,1857,Santander,Financials,Banco Santander
313,1902,Madrid,Financials,Banesto
314,1965,Madrid,Financials,Bankinter
315,1790,Vic,Consumer goods,Bassols 1790
316,1831,Madrid,Financials,Bolsas y Mercados EspaÃ±oles
317,1972,Alcobendas,Consumer services,BRB Internacional
318,2003,Barcelona,Consumer services,Budgetplaces
319,1969,Madrid,Consumer goods,Calidad Pascual
320,2007,MoiÃ ,Industrials,CATUAV
321,1958,Barcelona,Consumer goods,Chupa Chups
322,2002,Bilbao,Consumer goods,CIE Automotive
323,1998,Madrid,Industrials,Cintra
324,1929,Madrid,Oil & gas,Cepsa
325,1927,Madrid,Utilities,CompaÃ±Ã­a LogÃ­stica de Hidrocarburos
326,1923,Madrid,Industrials,Construcciones AeronÃ¡uticas SA
327,1917,Beasain,Industrials,Construcciones y Auxiliar de Ferrocarriles
328,1959,Barcelona,Industrials,Copisa
329,1716,Madrid,Industrials,Correos
330,1880,Madrid,Consumer services,Cortefiel
331,2018,Martorell,Consumer goods,Cupra
332,2009,CÃ¡diz,Health care,Curaxys
333,1955,CÃ³rdoba,Consumer goods,Deoleo
334,1979,Las Rozas,Consumer services,DIA
335,1998,Madrid,Consumer goods,Ebro Foods
336,1954,Barcelona,Consumer goods,Ebro trucks
337,1940,Madrid,Consumer services,El Corte InglÃ©s
338,1972,Madrid,Utilities,EnagÃ¡s
339,1944,Madrid,Utilities,Endesa
340,1969,Elorrio,Consumer services,Eroski
341,1995,Derio,Telecommunications,Euskaltel
342,1956,MondragÃ³n,Consumer goods,Fagor
343,1952,Madrid,Industrials,Ferrovial
344,1902,Barcelona,Consumer goods,Festina
345,1961,Madrid,Conglomerates,Fierro Group
346,1900,Barcelona,Industrials,Fomento de Construcciones y Contratas
347,1976,Zamudio,Oil & gas,Gamesa
348,1991,Madrid,Utilities,Naturgy
349,1984,Tres Cantos,Conglomerates,GMV Innovating Solutions
350,2005,MÃ¡laga,Technology,Grundig mobile
351,1867,Barcelona,Utilities,Grupo Agbar
352,1950,Burgos,Consumer goods,Grupo Antolin
353,1940,Carballo,Consumer goods,Grupo Calvo
354,1927,Murcia,Utilities,Grupo Gea Perona
355,1996,Granada,Consumer goods,Grupo Lo Monaco
356,1985,Madrid,Industrials,Grupo Puma
357,1906,A CoruÃ±a,Consumer goods,Hijos de Rivera
358,1979,Madrid,Consumer services,Hipercor
359,1992,Bilbao,Utilities,Iberdrola
360,1927,Madrid,Consumer services,Iberia
361,1940,Barcelona,Consumer goods,Idilia Foods
362,1985,Arteixo,Consumer services,Inditex
363,1993,Madrid,Industrials,Indra Sistemas
364,1946,Madrid,Financials,Inmobiliaria Colonial
365,1889,Ormaiztegi,Industrials,Irizar
366,1965,Portillo de Toledo,Consumer goods,Joma
367,1977,Elche,Consumer services,Kelme
368,1990,Valencia,Financials,La Caixa
369,1949,Madrid,Consumer services,La Casera
370,1852,Zaragoza,Consumer goods,Lacasa
371,1953,Tavernes Blanques,Consumer goods,LladrÃ³
372,2009,Murcia,Consumer goods,Llaollao
373,1890,Madrid,Consumer goods,Mahou San Miguel
374,1890,Palma,Consumer goods,Majorica
375,1984,Palau-solitÃ  i Plegamans,Consumer services,Mango
376,1933,Majadahonda,Financials,Mapfre
377,2011,Barcelona,Technology,Marfeel
378,1989,Madrid,Consumer services,Mediaset EspaÃ±a ComunicaciÃ³n
379,1956,Palma,Consumer services,MeliÃ¡ Hotels International
380,1977,Tavernes Blanques,Consumer services,Mercadona
381,1956,MondragÃ³n,Conglomerates,Mondragon Corporation
382,1930,Madrid,Financials,Mutua MadrileÃ±a
383,1868,Vitoria-Gasteiz,Industrials,Naipes Heraclio Fournier
384,1943,Valencia,Conglomerates,Natra
385,2005,Madrid,Industrials,Navantia
386,1978,Madrid,Consumer services,NH Hotel Group
387,1982,Bueu,Industrials,Nodosa Shipyard
388,1999,Madrid,Industrials,ObrascÃ³n Huarte Lain
389,1931,Mallabia,Consumer goods,Orbea
390,1967,Ibiza,Consumer services,Pacha Group
391,1960,Redondela,Consumer goods,Pescanova
392,1949,Barcelona,Consumer services,Planeta Group
393,1973,Villarreal,Industrials,Porcelanosa
394,1989,Tres Cantos,Consumer services,PRISA TV
395,1965,Barcelona,Consumer services,Private Media Group
396,1976,Madrid,Industrials,Prosegur
397,1996,Alcobendas,Technology,Pyro Studios
398,1985,Alcobendas,Utilities,Red ElÃ©ctrica de EspaÃ±a
399,2005,Madrid,Consumer services,Renfe
400,1987,Madrid,Oil & gas,Repsol
401,2007,Madrid,Consumer services,RTVE
402,1953,Majorca,Consumer services,RIU Hotels
403,1999,Madrid,Industrials,Sacyr
404,1956,Linares,Consumer goods,Santana Motor
405,1950,Martorell,Consumer goods,SEAT
406,1956,Getxo,Industrials,SENER
407,1956,Getxo,Industrials,Sener AeronÃ¡utica
408,1942,Las Rozas de Madrid,Industrials,Talgo
409,1959,Madrid,Oil & gas,TÃ©cnicas Reunidas
410,1924,Madrid,Telecommunications,TelefÃ³nica
411,1987,Madrid,Consumer services,Telepizza
412,1999,Madrid,Technology,Terra
413,1907,Madrid,Industrials,Uralita Group
414,1963,Molina de Segura,Consumer goods,Vidal
415,2001,MÃ¡laga,Consumer goods,Vitelcom
416,2000,Madrid,Telecommunications,Vodafone Spain
417,2004,Barcelona,Consumer services,Vueling
418,1974,Arteixo,Consumer services,Zara
419,2001,Madrid,Consumer services,Zinkia Entertainment
420,1992,Ljubljana,Technology,Academa
421,1961,Zgornji Brnik,Consumer services,Adria Airways
422,1965,Novo Mesto,Consumer goods,Adria Mobil
423,1990,IvanÄna Gorica,Consumer goods,AkrapoviÄ
424,1948,Å½iri,Consumer goods,Alpina Å½iri
425,2012,Kamnik,Technology,Amebis
426,1995,Maribor,Telecommunications,AMIS
427,1954,Ljubljana,Consumer services,BTC
428,1945,Begunje na Gorenjskem,Consumer goods,Elan
429,1998,Kranj,Consumer goods,Goodyear Dunlop Sava Tires
430,1950,Velenje,Consumer goods,Gorenje
431,1946,Kranj,Industrials,Iskra (company)
432,1948,Koper,Conglomerates,Istrabenz
433,1954,Novo Mesto,Health care,Krka
434,1946,Ljubljana,Industrials,Litostroj
435,1963,Ljubljana,Industrials,Ljubljana JoÅ¾e PuÄnik Airport
436,1949,Ljubljana,Consumer services,Mercator
437,1991,Ljubljana,Telecommunications,Mobitel
438,1947,Ljubljana,Consumer services,Petrol Group
439,1957,Koper,Industrials,Port of Koper
440,1995,Maribor,Industrials,Post of Slovenia
441,1991,Ljubljana,Industrials,Slovenian Railways
442,1943,Ljubljana,Industrials,Slovenija ceste Tehnika
443,1991,Ljubljana,Consumer services,Solinair
444,1954,Koper,Consumer goods,Tomos
445,2001,Ljubljana,Technology,XLAB d.o.o
446,2002,Ljubljana,Technology,ZootFly
447,1993,Bratislava,Consumer services,Air Slovakia
448,1955,Detva,Industrials,CestnÃ© a StavebnÃ© Mechanizmy Tisovec
449,1953,Bratislava,Industrials,Doprastav
450,1991,PreÅ¡ov,Industrials,Elnec
451,1992,Bratislava,Technology,ESET
452,1999,Medzilaborce,Consumer goods,Glass LPS
453,1992,Bratislava,Financials,Istrobanka
454,1993,Bratislava,Financials,J&T Finance Group
455,1996,Bratislava,Real estate,JTRE
456,1993,Äadca,Industrials,JJ Electronic
457,1995,Bratislava,Financials,KomerÄnÃ­ banka Bratislava
458,1947,PÃºchov,Consumer goods,Matador
459,1999,IstebnÃ©,Basic materials,"OFZ, a.s., IstebnÃ©"
460,1997,Bratislava,Telecommunications,Orange Slovensko
461,1994,Bratislava,Financials,Penta Investments
462,1992,Bratislava,Financials,PoÅ¡tovÃ¡ banka
463,1964,VeÄ¾kÃ½ Å ariÅ¡,Consumer goods,Å ariÅ¡ Brewery
464,1995,Bratislava,Consumer services,Slovak Airlines
465,1999,Bratislava,Telecommunications,Slovak Telekom
466,1993,Å½iar nad Hronom,Basic materials,Slovalco
467,1993,Bratislava,Consumer services,Slovart Music
468,1993,BanskÃ¡ Bystrica,Industrials,SlovenskÃ¡ poÅ¡ta
469,1819,Bratislava,Financials,SlovenskÃ¡ sporiteÄ¾Åa
470,1942,Bratislava,Utilities,SlovenskÃ© elektrÃ¡rne
471,2006,Bratislava,Oil & gas,SlovenskÃ½ plynÃ¡renskÃ½ priemysel
472,1949,Bratislava,Oil & gas,Slovnaft
473,2004,Bratislava,Technology,Sygic
474,1990,Bratislava,Financials,Tatra banka
475,2006,Bratislava,Telecommunications,O2 Slovakia
476,1957,VeÄ¾kÃ½ Å ariÅ¡,Consumer goods,Topvar
477,1954,Bratislava,Oil & gas,Transpetrol AS
478,2000,KoÅ¡ice,Basic materials,U.S. Steel KoÅ¡ice
479,1922,TrebiÅ¡ov,Industrials,VagÃ³nka
480,2004,Bratislava,Industrials,Å½elezniÄnÃ¡ spoloÄnosÅ¥ Slovensko
481,1969,Hurbanovo,Consumer goods,ZlatÃ½ BaÅ¾ant
482,2008,Bucharest,Consumer services,AdevÄrul Holding
483,1990,Buftea,Consumer services,Angst
484,1955,IaÈi,Health care,Antibiotice IaÈi
485,1970,Alba Iulia,Consumer goods,Apulum
486,1968,GÄeÈti,Consumer goods,Arctic S.A.
487,1966,Mioveni,Consumer goods,Automobile Dacia
488,1990,Bucharest,Financials,Banca ComercialÄ RomÃ¢nÄ
489,1993,Cluj-Napoca,Financials,Banca Transilvania
490,2004,Bucharest,Consumer services,Blue Air
491,1923,Bucharest,Financials,BRD â Groupe SociÃ©tÃ© GÃ©nÃ©rale
492,1880,Bucharest,Industrials,CÄile Ferate RomÃ¢ne
493,1991,Bucharest,Consumer services,Continental Hotels
494,1992,BacÄu,Consumer services,Dedeman
495,1993,Ètei,Consumer goods,European Drinks & Foods
496,1993,Cluj-Napoca,Consumer goods,Farmec
497,1976,Craiova,Consumer goods,Ford Romania
498,1992,Bucharest,Technology,GeCAD Software
499,2001,Bucharest,Industrials,Grup Feroviar RomÃ¢n
500,1991,Bucharest,Consumer services,Intact Media Group
501,1993,Cluj-Napoca,Consumer goods,Jolidon
502,1997,Mangalia,Industrials,Mangalia shipyard
503,1995,Bucharest,Consumer services,Mega Image
504,1976,Bucharest,Consumer services,Metrorex
505,1993,Bucharest,Consumer services,Mobexpert
506,1905,Cluj-Napoca,Consumer goods,Napolact
507,1997,Bucharest,Telecommunications,Orange Romania
508,1991,Bucharest,Oil & gas,Petrom
509,1974,NÄvodari,Oil & gas,Petromidia Refinery
510,1862,Bucharest,Industrials,PoÈta RomÃ¢nÄ
511,1998,Bucharest,Financials,Raiffeisen Romania
512,1993,Bucharest,Telecommunications,RCS & RDS
513,2006,Bucharest,Consumer services,Realitatea-CaÈavencu
514,2005,BraÈov,Consumer services,Regiotrans
515,1921,BraÈov,Industrials,Roman
516,1974,Bucharest,Oil & gas,Rompetrol
517,1994,Bucharest,Industrials,Romstal
518,1989,Bucharest,Telecommunications,Romtelecom
519,1992,Bucharest,Technology,SIVECO Romania
520,2001,Bucharest,Technology,Softpedia
521,1990,Bucharest,Technology,Softwin
522,1954,Otopeni,Consumer services,TAROM
523,1972,IaÅi,Consumer goods,Tehnoton
524,1991,Bucharest,Telecommunications,Telekom Romania
525,1920,Cluj-Napoca,Health care,Terapia Ranbaxy
526,1990,Bucharest,Conglomerates,Èiriac Holdings
527,2003,Cluj-Napoca,Industrials,Transferoviar Grup
528,2007,Cluj-Napoca,Technology,Trilulilu
529,1992,Bucharest,Technology,Ubisoft Bucharest
530,1992,Bucharest,Telecommunications,UPC Romania
531,1878,Bucharest,Consumer goods,Ursus Breweries
532,1990,Bucharest,Conglomerates,UTI Holdings
533,1997,Bucharest,Telecommunications,Vodafone Romania
534,1962,Bucharest,Health care,Zentiva
535,2005,Porto,Basic materials,Altri
536,1939,Porto,Industrials,Ambar â Ideas on Paper S.A.
537,1985,Porto,Financials,Banco Comercial PortuguÃªs
538,1924,Trofa,Health care,Bial
539,1876,Lisbon,Financials,Caixa Geral de DepÃ³sitos
540,1872,Lisbon,Consumer services,Carris
541,1934,Vila Franca de Xira,Consumer goods,Central de Cervejas
542,1997,Oeiras,Technology,Chipidea
543,1981,Porto,Wine making,Churchill's Port
544,1995,Coimbra,Technology,Ciberbit
