categories,change_1_day,change_1_year,country,id,market_cap,name,rank,share_price
"['Tech', 'Software', 'Dow jones', 'Tech Hardware', 'Electronics']",-0.34%,-9.74%,USA,1aeb78c70807445290795f145210a39e,$2.351 T,Apple,1,$147.81
"['Pharmaceuticals', 'Biotech']",0.31%,46.42%,USA,8443bd488b2543718e4dab19e7d1b371,$172.49 B,Bristol-myers Squibb,57,$81.13
"['Banks', 'Financial services']",-1.98%,-6.07%,USA,d35ff63680a645f986048ab48d2fe322,$175.05 B,Wells Fargo,56,$45.94
"['Sports goods', 'Footwear', 'Dow jones', 'Clothing']",1.29%,-34.00%,USA,0664af11c7b9417bab58542ffa880c0e,$175.54 B,Nike,55,$112.20
"['Entertainment', 'Dow jones']",0.85%,-32.45%,USA,4a67737ea89e450b8e8677a91e90327f,$177.08 B,Walt Disney,54,$99.43
['Medical devices'],0.15%,-15.80%,USA,078fc42523be4528a0eb804f7ceb4ddf,$188.46 B,Abbott Laboratories,53,$108.09
['Professional services'],-0.89%,-17.84%,Ireland,d38f5769cb644305bf77af14794bd780,$189.25 B,Accenture,52,$300.13
['Telecommunication'],0.40%,38.10%,USA,97f59071fdc74c589f7ad77a8903f429,$189.62 B,T-mobile Us,51,$152.41
"['Pharmaceuticals', 'Biotech']",0.19%,12.56%,Switzerland,9fe6e0ddabc04a8ebc3d091c9e3071f2,$194.41 B,Novartis,50,$89.99
"['Automakers', 'Manufacturing']",-0.77%,-20.00%,Japan,03ad6161d67b479588cd2cdcf7e0b3d5,$199.92 B,Toyota,48,$146.53
['Conglomerate'],-0.11%,-13.23%,USA,e44046a2f67e4062823fb2f75e3edd7f,$199.62 B,Danaher,49,$274.23
"['Restaurant chains', 'Dow jones', 'Food']",0.00%,9.89%,USA,af046f3fff4f48a598f3a5b14577a590,$200.24 B,Mcdonald,47,$273.40
"['Banks', 'Financial services']",-2.30%,-10.91%,China,a2720ae15d4745578a8ab1b5d3fb3db2,$201.96 B,Icbc,46,$0.49
"['Consumer goods', 'CAC 40', 'Cosmetics and Beauty']",0.66%,-15.71%,France,b568ec4c2bc340ac84c13758f1aa1d62,$204.92 B,L'oréal,44,$379.90
"['Tech', 'Electronics', 'Networking hardware', 'Dow jones', 'Telecommunications equipment', 'Tech Hardware']",-0.54%,-11.49%,USA,53570c24ff194326bc028c09f4d7ea22,$204.17 B,Cisco,45,$49.70
"['Oil&Gas', 'Energy']",-0.57%,31.57%,UK,6872065415084028ac623ff75960e708,$206.97 B,Shell,43,$57.72
"['Retail', 'Supermarket Chains']",-1.85%,-5.90%,USA,c55fcaae5766410086136058e5b43c6d,$218.88 B,Costco,41,$494.53
"['Pharmaceuticals', 'Biotech']",0.19%,24.97%,UK,144b8ddc219c44ad956c4781a1f629fd,$213.83 B,Astrazeneca,42,$68.47
"['Scientific & Technical Instruments', 'Diagnostics and Testing', 'Biotech']",-0.28%,-10.29%,USA,e3386793215d497fb47a51cd80ce7f22,$220.80 B,Thermo Fisher Scientific,39,$563.00
"['Semiconductors', 'Tech']",-1.81%,-2.11%,USA,0b7e1b00e5014e4b8792d845e132d156,$219.02 B,Broadcom,40,$540.80
['Conglomerate'],-0.04%,1.03%,India,6ba9e5b462a04029bcccfdc2ab95c3dc,$226.23 B,Reliance Industries,37,$33.44
"['Tech', 'Software']",-0.90%,-7.38%,USA,4535db9cb7d141bc9b893ba49d26d5bb,$224.72 B,Oracle,38,$83.35
"['Semiconductors', 'Tech', 'Tech Hardware']",-0.91%,-23.27%,Netherlands,a61cf8da5db749b6881706f13e458a43,$247.88 B,Asml,35,$605.71
"['E-Commerce', 'Tech', 'Internet', 'Retail']",4.79%,-26.18%,China,9d3f40983f3f4e23baea0c4f76747d6d,$240.69 B,Alibaba,36,$90.06
"['Pharmaceuticals', 'Dow jones', 'Biotech']",0.22%,48.92%,USA,5c23590bf0ed4f638e694bac3ec432c4,$278.99 B,Merck,31,$110.04
"['Beverages', 'Dow jones']",0.88%,21.25%,USA,a3800a0eb5234939b4d9952715a2fd4e,$278.28 B,Coca-cola,32,$64.35
"['Pharmaceuticals', 'Biotech']",-0.56%,-16.63%,Switzerland,9c59e22de2e94722ac0cf47bf78c3526,$270.73 B,Roche,33,$329.15
"['Pharmaceuticals', 'Biotech']",0.61%,19.00%,Denmark,ba491303dd7f41ec995a6ae4012dadb4,$285.74 B,Novo Nordisk,30,$126.90
"['Biotech', 'Pharmaceuticals']",1.26%,40.04%,USA,bb6653c1a8a34e5986c334d9e08053ad,$289.42 B,Abbvie,28,$163.66
"['Pharmaceuticals', 'Biotech']",-0.33%,-4.02%,USA,57e8c2311cac4ae8a8dcf704263fadda,$285.77 B,Pfizer,29,$50.91
"['Alcoholic beverages', 'Beverages']",0.19%,-23.36%,China,1ab0ccf2fae54fe386ff71baa18ae409,$292.41 B,Kweichow Moutai,26,$232.78
"['Banks', 'Financial services']",-1.29%,-19.63%,USA,bd288e9353194055bf8dabe7f6924056,$289.44 B,Bank Of America,27,$36.08
['Food'],-0.63%,-5.70%,Switzerland,1544f5604f3d49cba7489b7704ce1017,$331.82 B,Nestlé,23,$120.66
"['Tech', 'Internet']",2.53%,-60.21%,USA,7a90f062c1ce4cd78156c0433b431e81,$327.43 B,Meta Platforms (facebook),24,$123.49
"['Tech', 'Electronics', 'Tech Hardware', 'Manufacturing', 'Semiconductors']",-3.51%,-27.73%,South Korea,5d46c92b7e2f4f8886d0814f6c10f4df,$312.57 B,Samsung,25,$46.54
"['Retail', 'Dow jones']",0.28%,-19.56%,USA,4bd4d2e0621e4f1a9832e04d75491ee7,$334.28 B,Home Depot,22,$327.99
"['Oil&Gas', 'Dow jones', 'Energy']",-0.80%,57.23%,USA,b13f2a823d1b43f3a10de1ea4c864839,$350.04 B,Chevron,20,$181.03
['Financial services'],-0.21%,12.45%,USA,4969e3d2089941c2b44e8915b1ed7b7d,$346.18 B,Mastercard,21,$360.06
"['Dow jones', 'Consumer goods']",0.91%,2.27%,USA,cf1bf878b7a7454fae7e101193d06696,$356.90 B,Procter & Gamble,18,$150.61
"['Pharmaceuticals', 'Biotech']",1.20%,51.19%,USA,94b30bd26af74dbd9c6885b6da402c19,$356.08 B,Eli Lilly,19,$374.76
"['Tech', 'Internet', 'Video games', 'Esports']",3.69%,-34.20%,China,906b1809560343959bb8ca916e30b7e3,$378.34 B,Tencent,16,$39.29
"['Luxury goods', 'CAC 40', 'Clothing']",-0.79%,-3.08%,France,489251b60edd4d0d8f7e1c95daeeb053,$376.99 B,Lvmh,17,$753.26
"['Retail', 'Dow jones', 'Supermarket Chains']",-0.10%,13.10%,USA,6b3b46206aff45e59afa5aa6a8736901,$415.87 B,Walmart,14,$153.22
"['Banks', 'Financial services', 'Dow jones']",-0.79%,-16.16%,USA,e417ad817dc045779de5fceeea62cfc7,$396.45 B,Jpmorgan Chase,15,$135.16
"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware', 'Autonomous driving']",-1.51%,-47.47%,USA,34a10310502d4d2c94f08620a8df4ce9,$420.54 B,Nvidia,13,$168.76
"['Semiconductors', 'Tech', 'Manufacturing', 'Tech Hardware']",-1.43%,-33.03%,Taiwan,41d4c285ca7047898f8ed99b61142e28,$422.66 B,Tsmc,12,$81.50
"['Oil&Gas', 'Energy']",-0.85%,79.28%,USA,d02f428cc5634437966c808414d77a5f,$452.43 B,Exxon Mobil,11,$109.86
"['Financial services', 'Dow jones']",0.30%,9.77%,USA,395752907c7a42dfa827db8f54465999,$460.99 B,Visa,10,$217.66
"['Pharmaceuticals', 'Dow jones', 'Biotech']",0.08%,13.87%,USA,08700c77c31744d1aeb8831ea4f42d0b,$467.67 B,Johnson & Johnson,9,$178.88
"['Automakers', 'Tech', 'Electric Vehicles', 'Bitcoin', 'Manufacturing', 'EV charging', 'Autonomous driving']",0.08%,-46.10%,USA,499d7793accb4ee48e9f1dbb6bdb0da9,$606.20 B,Tesla,7,$194.86
"['Healthcare', 'Insurance', 'Dow jones']",0.17%,20.21%,USA,9deb798ece1f47878bbc6afaa6dfbcfe,$500.96 B,Unitedhealth,8,$536.16
['Investment'],0.10%,13.28%,USA,f7d05b5a4d474c7c981bcf6cc6c86f58,$696.53 B,Berkshire Hathaway,6,$316.15
"['E-Commerce', 'Internet', 'Tech', 'Retail']",-1.43%,-45.23%,USA,8a0478684cbc4862b4d2a4cdb80ae7c8,$960.28 B,Amazon,5,$94.13
"['Software', 'Tech', 'Dow jones', 'Video games']",0.13%,-22.60%,USA,99fce0cdd3124131896650fe55cfac78,$1.901 T,Microsoft,3,$255.02
"['Internet', 'Tech', 'Software', 'Autonomous driving']",-0.44%,-29.87%,USA,6a6e230e2c12460a96476b4a74681df1,$1.303 T,Alphabet (google),4,$100.83
"['Energy', 'Oil&Gas']",-1.19%,-5.57%,Saudi Arabia,6d16f018aa574822b31aa9905253d3b9,$1.938 T,Saudi Aramco,2,$8.81
"['Banks', 'Financial services']",0.32%,-8.94%,Canada,08725aa994694f2a9e8db0a4fa287ed9,$125.25 B,Toronto Dominion Bank,100,$68.59
"['Banks', 'Financial services']",-1.94%,1.55%,India,828c46bc0ef14bddbf0d6e6b9bb21ee5,$126.75 B,Hdfc Bank,98,$68.20
"['Healthcare', 'Insurance']",-0.07%,30.99%,USA,2f317a579f884fb8aeff4135f77df9ed,$125.66 B,Elevance Health,99,$523.60
"['Banks', 'Dow jones', 'Financial services']",-0.84%,-1.80%,USA,1b971bf5e9c743ab8b920e100eb1fad8,$128.87 B,Goldman Sachs,97,$380.58
"['Oil&Gas', 'Energy']",0.19%,-3.90%,China,c4fe2678ef78469b81058901844d5db0,$129.63 B,Petrochina,96,$0.74
"['Aerospace', 'Defense contractors', 'Aircraft manufacturers', 'Manufacturing']",2.59%,50.13%,USA,53ab8584323b4f4991eba7f5ab1eda7c,$130.04 B,Lockheed Martin,94,$496.23
['Retail'],-0.30%,-14.20%,USA,24d24c91007f4f22a49aa37faa86e637,$129.91 B,Lowe's Companies,95,$214.84
['Investment'],0.57%,-19.84%,Netherlands,504d94ab87904af0b166f4349602f7e1,$131.50 B,Prosus,92,$65.60
"['Food', 'Consumer goods']",0.68%,0.12%,UK,c67985966ee84f548583cbcf0abccdce,$131.15 B,Unilever,93,$51.50
"['Railways', 'Transportation', 'Infrastructure']",-0.56%,-10.56%,USA,59c505e4dfb2443fa5119a9d6601e943,$132.01 B,Union Pacific Corporation,91,$214.73
"['Tech', 'Software', 'Dow jones']",-0.33%,27.18%,USA,e4ae220c64874755b725da37ed8a9d18,$133.25 B,Ibm,90,$148.67
"['Internet', 'Tech', 'E-Commerce']",3.07%,-32.17%,China,e079a8a85061498185bd499aea712e6b,$133.48 B,Meituan,88,$21.57
"['Tech', 'Software', 'DAX']",0.02%,-13.94%,Germany,3d07f0b027e149cab13b207ee534f730,$133.26 B,Sap,89,$112.03
"['Healthcare', 'Pharmaceuticals', 'Drugstore', 'Retail']",0.91%,13.99%,USA,4587a4d131f64cbfbee6175595316dba,$134.78 B,Cvs Health,86,$102.58
"['Machinery manufacturing', 'Manufacturing']",0.86%,27.09%,USA,a22ee004731f4c4eb110a7df59c5835d,$134.49 B,Deere & Company,87,$445.61
"['Luxury goods', 'Clothing']",-0.14%,-1.01%,France,e27d34b0c4a64e08add3e10f95bacc90,$135.84 B,Dior,84,$751.90
['Telecommunication'],-0.89%,-17.48%,USA,2774f4861a5d49bc88cf208f69b31fe8,$135.55 B,At&t,85,$19.02
"['Banks', 'Financial services']",-0.62%,-0.46%,Canada,3ac276c0a1064ccc9ae535dddaf2035f,$139.63 B,Royal Bank Of Canada,82,$99.64
"['Batteries', 'Electricity']",-0.85%,-48.33%,China,fcb4f0e34fb9409cb6dcd83c4820a1e0,$136.36 B,Catl,83,$55.83
"['Tech', 'Semiconductors', 'Tech Hardware']",-0.91%,-29.02%,USA,31b095eee3754b8e9bd771552949f377,$140.86 B,Qualcomm,80,$125.66
"['Entertainment', 'Internet', 'Tech']",1.09%,-48.03%,USA,af9ea55a755241a28c210599e8fb8413,$142.58 B,Netflix,79,$320.41
"['Banks', 'Financial services']",0.00%,-10.87%,China,e8ba1937191b411c96e7dc92c0f590bb,$140.40 B,Agricultural Bank Of China,81,$0.41
"['Software', 'Dow jones', 'Tech']",-1.66%,-44.66%,USA,313770afeba944efb856b1a22cb98b80,$144.55 B,Salesforce,78,$144.56
"['Dow jones', 'Aerospace', 'Defense contractors']",0.78%,7.39%,USA,ac5cff80dc9a48289623edfda89c65a1,$147.29 B,Honeywell,77,$219.08
"['Aerospace', 'Defense contractors']",1.52%,23.70%,USA,9ff9e037b94a4839ba386254dcb53f3d,$148.49 B,Raytheon Technologies,76,$101.01
['Telecommunication'],-0.29%,10.02%,China,63107809b6f748a8b7ff8b60a6fd5c85,$149.18 B,China Mobile,75,$6.59
"['Oil&Gas', 'Energy', 'CAC 40']",-0.09%,26.01%,France,e0ab4205f2284f4b80d2ba414b2eded0,$151.61 B,Totalenergies,74,$60.61
"['Oil&Gas', 'Energy']",-0.72%,71.46%,USA,d64d7d7889fb43b8a71ade913aeceefa,$152.24 B,Conocophillips,73,$122.18
"['Banks', 'Financial services']",-0.55%,-14.29%,China,09036f0a1eeb4c41a3a12ba11853ec4d,$153.33 B,China Construction Bank,71,$0.78
"['Pharmaceuticals', 'Dow jones', 'Biotech']",-0.15%,41.92%,USA,2a649142b8e14ba5aef034bbddfc9dd6,$152.34 B,Amgen,72,$285.51
"['IT services', 'Professional services']",-1.05%,-13.01%,India,a832a2b92d184478a716eca15d25a5ee,$154.57 B,Tata Consultancy Services,69,$42.24
"['Financial services', 'Banks']",0.89%,2.92%,USA,dd2cc766d4e4436aba88c3ff4ca124db,$153.93 B,Charles Schwab,70,$82.46
"['Software', 'Tech']",-0.75%,-49.17%,USA,d18a6febba9d40c789c00762c050abad,$158.77 B,Adobe,66,$341.53
"['Telecommunication', 'Media/Press', 'Entertainment']",-1.16%,-30.37%,USA,2957d6eaadb246419b45b0c7ca9f5ca0,$155.03 B,Comcast,68,$35.86
"['Banks', 'Financial services', 'Investment']",-0.97%,-6.84%,USA,9536df3806fa49b3809b4a571813be93,$155.65 B,Morgan Stanley,67,$92.10
['Mining'],0.65%,10.01%,Australia,65cb00a2721147de936db92822dc3245,$160.50 B,Bhp Group,64,$63.43
"['Telecommunication', 'Dow jones']",-0.39%,-24.74%,USA,ff708fb9839e44c2873d2be0a3327737,$160.34 B,Verizon,65,$38.18
"['Semiconductors', 'Tech', 'Tech Hardware']",0.09%,-8.22%,USA,0dcc277aaf3a46d0be0cfb02e69d67d4,$161.23 B,Texas Instruments,63,$177.66
['Tobacco'],1.80%,18.74%,USA,f54ac39c376e475c82fa43208c387252,$161.68 B,Philip Morris,62,$104.30
"['DAX', 'Chemicals']",0.03%,4.12%,UK,13e7cf6d8fdd467cb07aa5f138147c68,$166.77 B,Linde,60,$337.35
"['Courier', 'Transportation']",-0.42%,-5.26%,USA,d5929d29cceb459fa6961600e55cbf6a,$163.80 B,United Parcel Service,61,$189.39
"['Luxury goods', 'CAC 40']",-0.78%,-12.52%,France,c71afd79557a4669acb7b81eaf1d3eea,$167.38 B,Hermès,59,"$1,601"
"['Energy', 'Electricity', 'Utility companies', 'Renewable energy']",0.44%,-3.86%,USA,7c589e42f8d04b9eb4490e7644793ab7,$169.30 B,Nextera Energy,58,$85.20
"['Automakers', 'DAX', 'Manufacturing']",-0.26%,-22.35%,Germany,4d7b67d3abb14b289cf6af24ff60949e,$87.16 B,Volkswagen,153,$146.40
"['Banks', 'Financial services']",-1.41%,-39.24%,China,b0629adb9d1f4148a311ca7c2241bcb9,$123.17 B,Cm Bank,101,$4.94
"['Mining', 'Coal Mining', 'Energy']",0.37%,45.53%,Switzerland,d14c51acb1cd4ba8a4218ded01b3d36f,$88.10 B,Glencore,151,$6.84
"['Railways', 'Transportation']",-0.49%,-0.90%,Canada,04dacb35a2534709ab10b292fb1a7748,$87.19 B,Canadian National Railway,152,$127.83
"['Beverages', 'Alcoholic beverages']",-0.93%,-33.59%,China,4c1dd22b8e8e41739c5f0c9cf0a561e5,$90.17 B,Wuliangye Yibin,150,$23.23
['Insurance'],0.38%,20.18%,Switzerland,52ae367230d243f49eaa38f9a0607db7,$90.96 B,Chubb,149,$219.16
"['Semiconductors', 'Tech', 'Tech Hardware']",-0.28%,-27.16%,USA,8e5a43d99bdc4ec89c9853b47dc7b17d,$91.80 B,Applied Materials,147,$106.71
"['Banks', 'Financial services']",-1.13%,-25.97%,USA,71a078084a87433687799c1f96b82b88,$91.49 B,Citigroup,148,$47.24
['Medical devices'],0.97%,-1.73%,USA,cb24f58da8cb4488918a059260c8a03e,$92.00 B,Stryker Corporation,146,$243.11
['Food'],0.32%,14.88%,USA,317f5da30d214e5faefa9ae6148a83eb,$93.28 B,Mondelez,143,$68.31
"['Retail', 'Clothing']",0.56%,14.15%,USA,8f6aa8575c424896ad38b5114fc9e8c9,$93.10 B,Tjx Companies,144,$80.19
"['Aircraft manufacturers', 'Aerospace', 'CAC 40', 'Manufacturing', 'DAX']",0.76%,2.12%,Netherlands,f6399e4db6a648eebc33074ab17d1e42,$92.04 B,Airbus,145,$116.87
['Conglomerate'],1.90%,-8.77%,USA,7be03e18f11f4174a8530bf791621ad3,$94.93 B,General Electric,141,$86.88
['Telecommunication'],-2.15%,0.37%,Japan,da9ead96b2594fb4a4df6bbe523318aa,$94.57 B,Ntt (nippon Telegraph & Telephone),142,$27.25
['Tobacco'],0.98%,24.44%,UK,c6d5425af4c244ac908e95c0b741bd54,$94.99 B,British American Tobacco,140,$42.31
"['Automakers', 'Manufacturing']",-1.72%,-23.01%,China,4fa5ccf3f83d4717a13d26a64c302fb9,$95.45 B,Byd,139,$37.34
"['Biotech', 'Pharmaceuticals']",1.08%,-4.66%,Australia,1a81811a88ca49788e2ee65f09c19dc9,$98.93 B,Csl,137,$205.17
['Medical devices'],-0.82%,-16.82%,USA,a54a67a801134aa78d74bc49ff62b1a0,$96.20 B,Intuitive Surgical,138,$272.25
"['Telecommunication', 'Real estate', 'REITs', 'Infrastructure']",-0.87%,-17.60%,USA,0eb2b5b33b894426a1c7cdbe50a93cc8,$102.13 B,American Tower,135,$219.37
['Insurance'],1.16%,65.43%,USA,393c68134e6542a6ba444f509ec633f5,$100.03 B,Cigna,136,$327.20
"['Automakers', 'Manufacturing']",-0.60%,,Germany,ac0967f697684ae0952db5e2a8a09bbf,$102.65 B,Porsche,134,$112.68
"['Tech Hardware', 'Tech', 'Scientific & Technical Instruments']",-2.64%,-32.65%,Japan,396122961afd49c697e0d6a8c28b62ce,$102.68 B,Keyence,133,$423.40
"['Video games', 'Electronics', 'Tech', 'Entertainment', 'Tech Hardware']",-1.37%,-31.10%,Japan,b34a69e2e89547858f02536c726906eb,$103.02 B,Sony,131,$82.79
"['Telecommunication', 'DAX']",-0.11%,17.29%,Germany,bcc62802d1ed4f23a2cbd24a04001523,$102.87 B,Deutsche Telekom,132,$20.69
['Medical devices'],0.47%,-25.78%,Ireland,bc368c69cf19435aaa6f9320e4d6cbdb,$105.90 B,Medtronic,128,$79.62
"['Batteries', 'Electricity', 'Energy']",-0.17%,,South Korea,c8d0699b9b86404cbc10780a4b5a38d3,$105.29 B,Lg Energy Solution,130,$449.97
"['E-Commerce', 'Internet', 'Retail', 'Tech']",5.00%,-30.57%,China,54df1e5a42e54ef29586c5708c656663,$105.71 B,Jingdong Mall,129,$58.64
"['Oil&Gas', 'Energy']",-1.01%,30.67%,UK,96df648eee7f494dac58894df0fb180f,$107.07 B,Bp,127,$35.36
"['Alcoholic beverages', 'Beverages']",0.60%,-6.75%,UK,5259c47b5c9645dba268e9b1cc9ea8a9,$108.84 B,Diageo,124,$191.39
['Investment'],-1.27%,-22.41%,USA,34f3f82c34b240b9a9d5f95bd041a7db,$107.08 B,Blackrock,126,$712.98
"['Real estate', 'Investment', 'REITs']",-0.14%,-24.27%,USA,c8eb18631cd5462a82d2dd1123cd76a5,$107.94 B,Prologis,125,$116.94
"['Aircraft manufacturers', 'Aerospace', 'Dow jones', 'Manufacturing']",4.03%,-9.64%,USA,0e96d164a736423682465f9ef7e70b44,$108.98 B,Boeing,123,$182.87
"['E-Commerce', 'Internet', 'Tech']",3.10%,45.65%,China,7240a88568524bacb0edd608995d2811,$109.16 B,Pinduoduo,122,$86.34
"['Pharmaceuticals', 'Biotech']",1.29%,27.79%,USA,e019787118004edd8ee84727fe072a4d,$111.66 B,Gilead Sciences,121,$89.03
"['Software', 'IT services', 'Professional services', 'Tech']",0.73%,16.12%,USA,80320470a1f9479bbc09e4b56ca4ab0d,$111.96 B,Automatic Data Processing,120,$269.90
['Mining'],0.93%,8.87%,UK,968b50ec7f924eaf93e29e3c784a5c71,$113.15 B,Rio Tinto,119,$69.82
"['Engineering', 'DAX']",0.78%,-15.21%,Germany,5848eb217d8941ac9cfcb53b3bece32f,$113.81 B,Siemens,118,$141.85
"['CAC 40', 'Pharmaceuticals', 'Biotech']",-1.87%,-5.62%,France,744b48771fd041b7a117c4de1cbfad7f,$114.09 B,Sanofi,117,$45.01
['Insurance'],-0.47%,-17.19%,China,c0e7474b62af4869add0a3657f9f9bb9,$115.00 B,Ping An Insurance,115,$6.36
"['Software', 'Tech']",-1.96%,-39.31%,USA,de9ed8d9c8f84fb6ba582681b01785fe,$114.59 B,Intuit,116,$407.92
['Insurance'],-0.79%,9.83%,China,5f431c4aeeae4a8ea6b7bd0f6e26cea3,$115.97 B,China Life Insurance,113,$5.03
"['Energy', 'Oil&Gas', 'Electricity']",-3.25%,44.82%,Norway,ae14e1f54fa54337bf2b98fde7ab24f9,$115.89 B,Equinor,114,$36.87
"['Dow jones', 'Financial services']",-0.48%,-0.01%,USA,80748fdcb96f413f96b81c9c5b5cf198,$117.12 B,American Express,112,$156.75
['Financial services'],-0.77%,-21.95%,USA,335338e7dbac4adfb12c7f15e202da6c,$117.22 B,S&p Global,111,$359.80
"['Alcoholic beverages', 'Beverages']",1.04%,7.00%,Belgium,ab8d79da1dbd46f18f80dc2147e686b0,$120.11 B,Anheuser-busch Inbev,110,$60.35
['Insurance'],-0.87%,-3.76%,Hong Kong,f6a8d75d791c4105a55c6d09eb65db5d,$120.50 B,Aia,109,$10.23
['Beverages'],1.63%,-5.72%,USA,70b417fe356449028df9c3cbf7111246,$120.57 B,Starbucks,108,$105.05
"['Semiconductors', 'Tech', 'Dow jones', 'Tech Hardware', 'Manufacturing']",-1.41%,-40.59%,USA,091410679e7e4dbda024b0c70a4e08d4,$121.37 B,Intel,106,$29.41
"['Tech', 'Semiconductors', 'Electronics', 'Tech Hardware']",-3.23%,-50.24%,USA,07729f35bed748d9aeaee5a46072f2ec,$120.89 B,Amd,107,$74.98
['Banks'],0.10%,6.70%,UK,56dfd38c7c7c4a989f10f61970ed3441,$122.12 B,Hsbc,105,$30.58
"['Dow jones', 'Machinery manufacturing', 'Manufacturing']",0.19%,19.99%,USA,ea5c7ae7e09c4219bbe0cb4134495604,$122.88 B,Caterpillar,104,$236.13
"['Banks', 'Financial services']",0.00%,-8.33%,China,e21d295f393244b1a52e73b338f940e0,$123.07 B,Bank Of China,102,$0.44
"['Banks', 'Financial services']",-1.36%,6.41%,Australia,ec69fb8d5dc047b59eeec8a5906e2aac,$122.92 B,Commonwealth Bank,103,$72.69
"['Retail', 'Supermarket Chains']",-0.53%,-33.13%,USA,cafbf5dd00d44113b542e5afd52dc8df,$75.56 B,Target,180,$164.16
"['Energy', 'Electricity', 'Oil&Gas', 'Utility companies']",-0.79%,1.92%,USA,eb2af0a085514a32858378d80edc39d4,$76.63 B,Duke Energy,179,$99.52
"['Railways', 'Transportation', 'Infrastructure']",-0.19%,17.96%,Canada,72649857ab1e40dda58117412ec0ff15,$77.08 B,Canadian Pacific Railway,178,$82.35
['Insurance'],0.95%,38.03%,USA,eae0d5c7520e4b988d4010f0b01f6564,$77.51 B,Progressive,177,$132.51
['Mining'],0.48%,28.71%,Brazil,66186105c0934f8491a84ff045543ef9,$77.98 B,Vale,176,$16.72
"['CAC 40', 'Chemicals']",0.70%,-10.41%,France,235027e433914125834609e35a073138,$78.78 B,Air Liquide,175,$147.96
"['Mining', 'Coal Mining', 'Energy']",-1.57%,28.92%,China,b3569700dff340a5914b00fecfa9e893,$79.02 B,China Shenhua Energy,174,$4.19
"['Internet', 'Travel', 'Online Travel', 'Tech']",1.22%,-3.98%,USA,ba04955e32c1486c8720ea6eb4eaebac,$80.89 B,Booking Holdings (booking.com),173,"$2,085"
"['Banks', 'Financial services']",0.00%,24.13%,India,91c4f5a0002e4b5f9f18f5e177ca1d7e,$80.89 B,Icici Bank,172,$23.20
"['Pharmaceuticals', 'Chemicals', 'DAX']",0.45%,-22.36%,Germany,4c8f00a11e4d41309629dd04debf33ab,$81.20 B,Merck Kgaa,171,$186.76
"['Pharmaceuticals', 'Biotech']",0.19%,57.19%,USA,b0ba4cdbe6474bfa8d58571d37837c14,$82.49 B,Vertex Pharmaceuticals,169,$321.37
"['Energy', 'Oil&Gas']",-1.12%,60.55%,USA,82bb1de1ead243078092fc47d696e1a2,$81.62 B,Eog Resources,170,$138.97
"['Clothing', 'Retail']",0.83%,-17.37%,Spain,4eac89cad7ca4521b70591eb7fccc24b,$82.91 B,Inditex,167,$13.32
"['Oil&Gas', 'Energy']",-0.85%,8.61%,Canada,f5a176d42b044a9abcba679730531a8c,$82.78 B,Enbridge,168,$40.61
"['Software', 'Internet', 'Tech']",-2.99%,-33.77%,USA,527b940c848e47ed89a3028ed401343c,$83.39 B,Servicenow,166,$412.87
"['Biotech', 'Pharmaceuticals']",0.68%,20.88%,USA,822737665c1a419c97142a5cd7a3a6ee,$83.46 B,Regeneron Pharmaceuticals,165,$766.39
"['Aerospace', 'Defense contractors']",2.89%,54.75%,USA,7a0256e824bd4aa793c30384aa5f9aae,$83.97 B,Northrop Grumman,164,$545.60
"['CAC 40', 'Tech', 'Professional services', 'Software']",-0.45%,-18.89%,France,e0e885d924ac495da94a5e51803af6bc,$84.02 B,Schneider Electric,163,$147.94
"['CAC 40', 'Glasses and contact lenses', 'Luxury goods']",1.43%,-5.39%,France,7c9574fc24324ab1820c6b0e02738108,$84.69 B,Essilorluxottica,162,$190.13
"['Financial services', 'Tech', 'Internet', 'Bitcoin']",-4.93%,-60.11%,USA,b4f6472380ac4305843b083e1790f5b5,$85.11 B,Paypal,161,$74.66
"['Banks', 'Financial services']",-0.50%,-40.11%,Saudi Arabia,f4e0a1206d624f36b90f6d9abb760b5b,$85.28 B,Al Rajhi Bank,160,$21.32
"['Cosmetics and Beauty', 'Consumer goods']",3.04%,-28.58%,USA,f2b86ac374eb4650b62c4ea8b020f68a,$85.28 B,Estee Lauder,159,$239.01
['Tobacco'],1.32%,10.23%,USA,d7ad1c7adada431bb1459bf1dda6dc9e,$85.36 B,Altria Group,158,$47.63
"['Semiconductors', 'Tech', 'Manufacturing']",-1.22%,-6.64%,USA,5392127ae2f14c0888615239b1a7fd95,$85.88 B,Analog Devices,157,$168.63
"['Professional services', 'IT services']",-1.56%,-13.87%,India,d5b3bcb6b05f425e812203d759475342,$86.00 B,Infosys,156,$20.19
"['Insurance', 'DAX']",-0.54%,-4.44%,Germany,7597f6b734804ed7aa05317849ba53d8,$86.06 B,Allianz,155,$213.41
"['Insurance', 'Professional services']",0.51%,3.23%,USA,0ddeb2eb8ba8439e84ec9c4318c2e3c8,$86.26 B,Marsh & Mclennan Companies,154,$173.91
"['Pharmaceuticals', 'mRNA therapeutics', 'Biotech']",0.48%,-39.52%,USA,27d0dacd236e49ca97b7fe396cfa60b2,$70.05 B,Moderna,200,$182.35
