country,employees_number_2017,employees_number_2020,founding_year,name,revenue_2017_EU,revenue_2020_EU,sector
Italy,2,10,2017,Gyada Cosmetics,156130,1830610,Beauty
UK,47,190,2014,Privitar,855321,9923965,Technology
UK,1,25,2015,Delineate,288095,3332661,Technology
Poland,75,563,2016,Spyrosoft,2326082,24721755,Technology
Slovakia,6,37,2014,Bio Energy Solutions,1383205,16006537,Waste management & recycling
Italy,2,51,2015,Increso,281000,3230000,Management Consulting
Italy,1,46,2016,LSG - Logistic & Service Group,777410,8873180,Transport
Sweden,19,125,2015,Energihem,2527006,28004684,Construction
UK,48,164,2012,Amity,522712,5743440,Technology
Germany,4,43,2014,Goyago,337525,3729920,Retail
France,23,140,2016,LA REGIE DE PORTAGE SALARIAL,692440,7638731,Support Services
Denmark,5,15,2007,Dall Energy,551000,6013000,Energy
Germany,5,44,2014,Appinio,330500,3597000,Technology
Italy,14,33,2015,Pinsami,455000,4892000,Food & Beverage
France,1,1,2013,AER TRADING,1643572,17575388,Retail
France,1,4,2014,VALUMEN,205554,2196424,Support Services
France,4,14,2016,Follow,643299,6844818,Advertising
Germany,4,173,2016,Darpdecade,628384,6624660,Retail
Estonia,399,1798,2013,Bolt,21098843,221393889,Technology
Italy,2,5,2014,Kiteworldshop.com,160539,1671984,Ecommerce
Germany,10,19,2006,Peter Kenkel,2131000,22137000,Retail
Denmark,32,292,2014,Templafy,1521010,15486451,Technology
Italy,17,99,2014,Comservice,194780,2016300,Support Services
Italy,1,5,2017,Falcor Presse,291720,2996770,Industrial Goods
The Netherlands,8,40,2017,RoomRaccoon,167000,1715334,Technology
Spain,37,95,2013,Signaturit,552355,5639953,Technology
UK,31,191,2015,Modulr,1269382,12789098,Fintech
Germany,17,63,2012,PROFISHOP,4340517,43812068,Ecommerce
The Netherlands,2,15,2015,Floer,249975,2520013,Interiors
Italy,4,12,2011,Audiosalus,156300,1569480,Retail
UK,2,26,2016,StatsBomb,204620,2027170,Technology
Italy,2,8,2013,Theras Biocare,2693390,26633230,Pharmaceuticals
UK,32,61,2016,Stenn,3058141,29615571,Fintech
Hungary,30,180,2012,Nanushka,2456563,20825934,Fashion
Germany,10,60,2016,DPM - Deutsches Personal Management,230800,2267760,Support Services
UK,84,243,2013,Monese,1870109,18196451,Fintech
Spain,40,288,2005,Arquimea,7450099,72044361,Technology
France,4,18,2013,Groupe PERSPECTIVE,280390,2709000,Education
Sweden,37,155,2014,Funnel,1217338,11499031,Technology
Germany,5,49,2015,Living Quarter,529371,5016731,Health
Sweden,38,287,2013,Svea Solar,7177912,66146911,Energy
Ireland,6,16,2016,Bevcraft Group,429505,4046859,Food & Beverage
UK,767,932,2013,Learning Technologies Group,2096570,19446429,Technology
Italy,2,9,2014,Cura Farma,479290,4436220,Health
Lithuania,2,7,2013,Kamado Bono,735758,6801734,Personal & Household Goods
Spain,3,47,2007,SIPADAN,374200,3457203,Management Consulting
Czech Republic,18,45,2013,Dateio,530785,4710733,Fintech
Germany,4,16,2016,CREST Investment,533144,4857817,Property
Italy,2,19,2017,Componenti Digitali,308810,2805850,Retail
Germany,3,6,2006,IMMO-KONZEPTE,252871,2269276,Property
Denmark,3,41,2014,SwipBox,1052796,9391760,Technology
Sweden,9,85,2015,Nextory,3046667,26534087,Media
Poland,32,176,2016,ITDS Polska,1057443,8609941,Technology
Italy,4,5,2015,Savait,237410,2108040,Ecommerce
Spain,3,18,2015,Adpone,1255372,11124512,Advertising
Lithuania,350,1000,2012,Nord Security,18035029,156623915,Cyber Security
The Netherlands,25,226,2012,Mews,2531000,22386000,Technology
Spain,9,35,2015,Titulae,551128,4870863,Education
Ireland,5,40,2016,systeme.io,273552,2407982,Ecommerce
Greece,20,30,2003,EODH SA,299988,2597612,Aerospace & Defence
Italy,2,5,2015,Multix solutions,1340430,11586460,Health
France,2,12,2016,B2DIGIT,228982,1978128,Technology
UK,5,47,2015,A Million Ads,570564,4882837,Advertising
The Netherlands,5,25,2013,WoodWatch,651170,5590390,Retail
France,3,12,2010,Fenêtres du Doubs,262280,2238347,Construction
Germany,3,65,2016,Koesea,400000,3400000,Construction
Italy,14,38,2011,Podium Advanced Technologies,2133310,18025740,Automobiles
Croatia,109,166,2010,SPEGRA,2025879,17059791,Construction
Spain,18,117,2013,GPAINNOVA,1815680,15245617,Industrial Goods
Italy,4,23,2016,Soluzione Tasse,2264940,18939430,Management Consulting
Germany,2,15,2016,Velocultour,295731,2458500,Retail
Hungary,2,7,2011,butorpiac.hu,305268,2184336,Ecommerce
Czech Republic,8,44,2016,Success Solutions,327218,2633664,Technology
Denmark,1,1,1989,Bug Bite Thing Europe,191679,1577878,Health
Estonia,4,24,2015,Dexatel,1349733,11087980,Technology
Italy,1,6,2015,Gemco,481510,3941900,Construction
France,n/a,n/a,2015,Lyonnaise de Construction et Renovation,812371,6640842,Construction
UK,204,702,2012,Gousto,26112757,210945370,Food & Beverage
UK,4,6,2010,Winter in Venice,1575522,12682062,Beauty
Germany,18,72,2007,Infratech Bau,7415334,60067088,Construction
Italy,3,46,2016,4Streets Building Innovation Tunnels Bridges Roads,833230,6739630,Construction
UK,31,95,2013,Landbay,1119178,8980496,Fintech
Sweden,3,18,2012,Degoo,249818,1973775,Technology
Germany,52,320,2016,Franco Fresco,6280267,50723858,Food & Beverage
UK,25,84,2014,Lendable,5026349,40305193,Fintech
Germany,2,6,2014,Ulrich Müller Wealth Academy,440369,3516744,Education
Germany,19,84,2012,cerascreen,1315000,10499782,Health
France,24,43,2011,Eqinov,8811708,70183744,Energy
Italy,7,12,1996,Serre Famiglia Pederiva Viticoltori dal 1958,1134730,9022020,Food & Beverage
UK,68,170,2013,Bloom & Wild,19757296,155595726,Ecommerce
Germany,9,29,2016,Bräutigam,796207,6315124,Automobiles
Finland,1,7,2006,Newil & Bau,2448858,19420672,Construction
Spain,271,411,2015,ID Finance,13157000,103634000,Fintech
Sweden,74,600,2014,Kry,10152222,77764611,Health
Italy,4,25,2015,Sixth Sense,500440,3916570,Technology
Italy,7,19,2014,Nethive,506730,3960770,Cyber Security
UK,3,8,2016,Latitude Investment Management,225964,1750466,Financial Services
Sweden,10,68,2015,Qred,3989355,30414122,Fintech
Germany,15,55,2016,oculavis,504357,3924472,Technology
Italy,5,30,2015,The Information Lab,548180,4253110,Technology
Germany,6,10,2015,MD Sonnenschutztechnik,524750,4068621,Construction
Croatia,7,43,2017,Syntio,274966,2127532,Technology
Denmark,3,13,2016,Bomae,214713,1662487,Financial Services
UK,6,18,2014,Gophr,755191,5738336,Technology
Germany,20,110,2012,Memory PC,7522000,57375000,Retail
Germany,2,6,2017,Sollis Solargroßhandel,1556607,11860100,Retail
Greece,37,123,2015,Spotawheel,2058315,15646588,Automobiles
UK,18,83,2012,Ooni Pizza Ovens,8508398,63879414,Personal & Household Goods
Germany,10,35,2015,Robovox Distributions,2570000,19427000,Retail
UK,92,650,2000,CentralNic Group,26626422,197260279,Technology
Germany,16,83,2003,Bernd Andert Transporte,546226,4105262,Transport
UK,16,18,2007,Bluewater Bio,2708983,20201424,Technology
Italy,25,107,2012,Tecma Solutions,975140,7319870,Technology
Poland,21,48,2015,Delante,316525,2160094,Sales & Marketing
Germany,8,15,2015,intumind,884885,6560962,Health
Germany,10,15,2016,Saljol,559778,4146403,Health
Germany,9,20,2014,TKD Solutions,2146950,15874245,Telecoms
Finland,5,15,2016,Kuori,340000,2501902,Technology
Sweden,21,42,2010,Ferroamp,1062649,7645003,Energy
UK,6,23,2016,Valor Real Estate Partners,621636,4534588,Financial Services
France,2,14,2013,Anexiti,350019,2565735,Technology
France,6,23,2017,GENIUS,330522,2417902,Support Services
Italy,3,31,2015,Instilla,410520,2993310,Advertising
Spain,12,60,2012,FOOTDISTRICT,2051133,14942262,Ecommerce
Sweden,12,36,2012,Spiideo,674805,4799358,Technology
UK,14,118,2012,ContractPodAi,670685,4875622,Technology
Germany,5,15,2017,Tarhan Bauausführungen,255000,1851000,Construction
UK,44,218,2010,Matillion,3417815,24580709,Technology
Germany,2,5,2017,Extra Mile Live Service,364485,2637501,Retail
France,17,173,2013,LITTLEBIG CONNECTION,15653388,111538883,Support Services
Italy,15,50,2011,SPC General Service,954700,6788660,Construction
Spain,156,801,2008,jobandtalent,49833511,352879165,Technology
UK,14,20,2016,Financial House,2669247,18766625,Fintech
Poland,8,42,2013,MyLead,309471,2004501,Sales & Marketing
Italy,15,74,2016,Mia-Platform,923730,6515510,Technology
Italy,20,32,1976,Tecnimed,1354980,9551790,Health
UK,5,22,2015,Longevity Partners,335460,2336243,Retail
Italy,56,345,2015,NexumStp,3659630,25667400,Management Consulting
France,3,16,2016,G-ON,259342,1810459,Support Services
UK,3,10,2016,Picnic,219999,1508869,Advertising
Italy,2,36,2012,Egomnia,276750,1901140,Technology
UK,10,40,2012,LoyaltyLion,657382,4483296,Technology
Norway,22,142,2016,reMarkable,18106514,115793390,Technology
UK,119,673,2016,Kubrick,4829922,32614354,Management Consulting
Italy,7,35,2012,Contrader,688860,4682960,Technology
Germany,39,89,2008,SAMONT,2880891,19577339,Industrial Goods
Italy,1,5,2017,Sirive,667170,4527690,Construction
Spain,10,15,2014,Multienergia Verde,21640253,146453604,Energy
Belgium,1,6,2013,Wielandts UPMT,226295,1529270,Technology
Sweden,4,13,2015,ASKET,991534,6525278,Fashion
Czech Republic,10,45,2015,Central Warehouse Solution,274790,1788545,Transport
Italy,2,21,2015,Chef in Camicia,310810,2071960,Advertising
UK,9,28,2015,Piper Homes,4601266,30436232,Construction
Spain,12,33,2014,Alturas Cubiertas Y Fachadas,1411811,9375243,Construction
Germany,2,11,2015,Autosalon Uhingen,1587500,10540000,Automobiles
France,1,5,2013,Yumi Beauty,404819,2678257,Chemicals & Pharmaceuticals
France,2,7,2016,FOR ME LAB,251795,1652073,Ecommerce
Sweden,7,25,2015,Stockholms Elbolag,5033032,32265912,Energy
Germany,21,84,1999,Flohr,3241629,21249638,Waste management & recycling
Italy,1,4,2008,Agricodem,436610,2856530,Agricultural Commodities
Germany,14,80,2005,DACH Schutzbekleidung,6936038,45227730,Industrial Goods
Germany,7,16,2017,EM-Tec Energiemontagen,461000,3002729,Construction
Romania,8,9,2014,Wave Studio,656172,4105688,Technology
Croatia,3,17,2013,bazzar,1034093,6686617,Retail
The Netherlands,10,43,2015,Cybersprint,449771,2914738,Cyber Security
Italy,19,34,2012,Brandon Group,4954590,32039000,Ecommerce
Germany,1,13,2014,Feiniko Handelsgesellschaft,4979484,32168909,Retail
Italy,2,21,2015,PharmaGrin,422610,2701410,Health
Czech Republic,1,3,2016,Life M,322050,2001844,Technology
Portugal,5,16,2012,Plásticos Dão / Sacos & Saquetas,304833,1946703,Industrial Goods
Germany,19,70,2010,Logipal24,789058,4967568,Transport
The Netherlands,23,22,2012,PastBook,5361088,33651532,Technology
UK,6,21,2013,Bluefin,4653721,28993287,Ecommerce
UK,4,18,2016,Milk & Honey PR,245974,1528900,Sales & Marketing
France,70,220,1990,Prodeval,11756712,73514217,Energy
Finland,23,110,2013,Virta,1765457,11029402,Technology
Italy,4,28,2015,BizAway,318940,1989950,Travel & Leisure
France,2,6,2015,Karl & Léon,385266,2391019,Retail
UK,39,80,2001,Identity,3733539,22885804,Management Consulting
Hungary,4,55,2016,BlackBelt Holding,923000,5695000,Technology
France,1,13,2010,DYNVEO,598678,3687780,Retail
Czech Republic,7,29,2016,Favi,4174549,24995030,Ecommerce
Finland,4,27,2016,Hopkins,737936,4534346,Sales & Marketing
Italy,3,7,2016,AP Italian Luxury,698300,4283930,Fashion
UK,20,45,2015,Novicap,551848,3383802,Fintech
Italy,1,5,2013,IGLM Store,1277410,7790420,Ecommerce
Germany,8,41,1999,LUIS Technology,1644899,10000511,Technology
UK,55,275,2016,Quantexa,5643295,33902755,Fintech
Italy,9,37,2014,Enerbrain,685370,4131370,Energy
Germany,7,28,2013,Brinckmann,1002579,6037461,Construction
Italy,6,12,1982,LMG Building,1043440,6255970,Construction
Norway,12,33,2013,Nordic Unmanned,1122907,6305237,Aerospace & Defence
France,2,6,2017,Hemisphere,1091925,6484822,Property
Germany,23,87,2017,therapiezentrum.com NW,492860,2916337,Health
UK,39,82,2010,Beauhurst,916511,5355215,Technology
Romania,43,49,2017,C.U.N. Cargo Carriers,1207613,7103702,Transport
Italy,23,34,2016,MG Project,1396400,8208450,Telecoms
Germany,3,6,2015,BONMEA,2484783,14597418,Retail
Italy,2,6,2007,Oceanis Yachts,521250,3059130,Travel & Leisure
France,2,8,2016,OPUS DB,2076139,12171118,Construction
France,9,27,2013,Devensys Cybersecurity,580644,3403055,Technology
Cyprus,25,104,2016,Project Agora,3380420,19798875,Advertising
Germany,5,19,2012,BETTERTRUST,853561,4981938,Advertising
Italy,3,10,2014,Banale,352000,2051370,Ecommerce
The Netherlands,5,17,2013,Maatwerk Online,287985,1673382,Sales & Marketing
France,1,6,2011,Les constructeurs du bois,877275,5087783,Property
Italy,6,10,2013,Esserre Pharma,441260,2556640,Pharmaceuticals
UK,8,18,2014,OnBuy.com,473344,2720319,Ecommerce
France,27,108,2015,Gojob,7007000,40546000,Support Services
Germany,6,10,2016,Newroom,638739,3669217,Retail
Italy,3,9,2016,Christmas the Original,347190,1994200,Retail
Germany,5,16,2016,Dimaxbau,349641,2003989,Construction
Germany,2,9,2013,Comnovis IT,332372,1900000,Technology
Germany,4,8,2016,Die Direktkontakter,493000,2818000,Support Services
Italy,30,400,2010,Mega Trasporti,3185180,18168170,Transport
France,9,40,2014,LeHibou,2423113,13816792,Technology
Italy,3,13,2014,Stufe A Pellet Italia,631500,3598050,Interiors
UK,31,46,2012,Aquis Exchange,2267165,12824155,Financial Services
UK,8,50,2015,Chattermill,408336,2306045,Technology
Germany,10,45,2016,SchönerTel,2884392,16388546,Construction
Italy,8,57,2011,Global Work,558820,3174000,Telecoms
Germany,1,9,2012,allygatr,338300,1914500,Support Services
UK,3,14,2013,Cru Wine,1644134,9235946,Food & Beverage
Italy,5,8,2004,Abc Rent,3878370,21818000,Automobiles
UK,20,57,2011,Superior Wellness,9719653,54150622,Personal & Household Goods
Austria,3,12,2016,Schrott24,2610679,14641523,Waste management & recycling
Italy,3,14,2017,Mazzoni Etech,419240,2344440,Industrial Goods
France,4,6,1996,Berdugo Immobilier,2696485,15049845,Property
Lithuania,9,37,2016,Nova rent,1600000,8900000,Industrial Goods
Czech Republic,13,38,2013,Rouvy,751071,4058269,Games industry
Italy,3,4,2015,Business Analysis & Legal Expertise - B.A.L.E.,532690,2943020,Management Consulting
Poland,172,381,2000,JMB,12709000,70179000,Energy
France,2,13,2016,NOCNOC,289766,1596167,Travel & Leisure
UK,5,33,2013,CrowdProperty,539486,2941537,Fintech
France,4,42,2015,Tutos’Me,910963,4989872,Education
Italy,4,10,2011,Studio Eko’,318370,1740660,Management Consulting
UK,2,7,2010,Beings,348129,1881768,Technology
Poland,3,6,2013,dmrgroupltd.com,1418769,7050124,Chemicals & Pharmaceuticals
UK,35,119,2014,Ice Telecommunications Ltd,2982238,16067551,Telecoms
Italy,18,95,2012,Gallas Group,856790,4640710,Support Services
Italy,4,10,2010,Etracom,4253600,22952660,Ecommerce
UK,38,88,2015,Xalient,4893654,26199717,Technology
Italy,5,n/a,2009,Labevolution,1349250,7264130,Health
Italy,9,20,2015,Kuadra,635400,3400580,Interiors
Spain,3,8,2014,Kyo Electric,1013181,5402302,Telecoms
UK,13,32,2012,SoPost,1481398,7825138,Technology
Italy,7,44,2016,S.F.R.E.,564910,3004290,Construction
Germany,60,262,2012,Sportstech,20436426,108500233,Retail
France,40,98,2014,Opéra Energie,2127151,11218211,Energy
UK,28,76,2010,RouteNote,7339330,38428858,Technology
UK,26,40,2016,Doctify,461671,2409255,Health
UK,30,67,2008,Fruugo,4176347,21793194,Ecommerce
Germany,7,15,2012,Insidemarketing,569646,2971846,Technology
Italy,2,11,2013,Falzi,391540,2037320,Waste management & recycling
Spain,62,504,2015,Atrys Health,6035116,31396438,Health
Italy,1,4,2016,Il Cantiere Costruzioni,826430,4297790,Construction
Germany,13,22,2004,Soorce,3013629,15639618,Support Services
Belgium,26,85,2013,Sortlist,655000,3396000,Technology
Poland,90,234,2010,VirtusLab,2635420,12468548,Technology
Sweden,5,16,2012,SkalHuset.se,1454711,7342811,Ecommerce
Germany,6,26,2013,VIPINO,2148122,11067681,Retail
Italy,30,133,2015,GEA Service,1304060,6673050,Waste management & recycling
Italy,12,62,2016,Gellify,1090920,5581540,Technology
UK,42,92,2014,Billion Dollar Boy,2577297,13085484,Advertising
Italy,19,58,2014,Westrafo,4356500,22072700,Energy
The Netherlands,10,21,2015,Goboony,340309,1718442,Travel & Leisure
Italy,60,180,2016,Multiservice Ambrosiana,846360,4266770,Support Services
Germany,16,65,2016,b&c systems,1061327,5339538,Construction
Bulgaria,31,10,2014,S&G Solar,792093,3980920,Energy
Romania,40,120,2007,BITTNET,4641712,22436395,Management Consulting
Belgium,47,204,2013,Ibanfirst,2408187,12062697,Fintech
Germany,20,46,2013,UPLINK Network,5629906,28140196,Telecoms
France,6,25,2015,BASE ORGANIC FOOD,2163006,10802997,Agricultural Commodities
UK,20,74,2009,CurrentBody,7671961,38002441,Ecommerce
UK,1,6,2016,Apex Aero,770031,3812785,Aerospace & Defence
Poland,25,59,2016,Startup Development House,303615,1514111,Technology
Italy,8,806,2010,Gruppo Gheron,11728040,58422800,Health
Italy,5,30,2016,DyFlowing,341370,1696320,Technology
Germany,22,40,2016,Digital Masters,608053,3019110,Advertising
Germany,3,17,2017,Prusseit Auto-Outlet,520998,2576602,Automobiles
Norway,30,72,2002,Techouse,6863940,31852584,Energy
Italy,3,8,2016,SVS,1965560,9694310,Construction
UK,18,86,2017,TelcoSwitch Group,1543824,7519236,Telecoms
Germany,3,8,2017,BOTHE-REIMANN Tortechnik,464354,2277791,Construction
Italy,8,12,2012,e-Pol / Personalizzalo,3284400,16089160,Ecommerce
Spain,3,18,2016,Riluxa,700007,3428464,Interiors
France,6,8,2002,Modalis,3915724,19169652,Transport
France,8,27,2016,OLYMPP,1127652,5512134,Technology
Germany,4,25,2013,Zeck Fishing,1401463,6806664,Retail
Bulgaria,16,25,2011,StorPool Storage,681460,3306191,Technology
Germany,72,164,2013,Vimcar,3035269,14674011,Technology
France,5,8,2011,JOANNES DISTRIBUTION SAS,1468200,7064900,Retail
France,8,30,2011,Sourcing Force,2663699,12806965,Technology
Germany,16,60,2000,Schalttechnik Nord,2601157,12489032,Technology
Germany,5,27,2015,DGC,329298,1577296,Cyber Security
France,28,202,2013,Superprof,2136626,10168214,Education
UK,12,48,2011,Improveasy,5602132,26446798,Management Consulting
France,8,30,2014,Viaréno,1459655,6937737,Construction
Slovakia,10,19,2013,CMT,411858,1951232,Waste management & recycling
Poland,31,97,2014,Rets,1201964,5206032,Property
UK,33,104,2007,MUBI,3954351,18356623,Media
Italy,3,27,2001,Dynamicom Education,1906790,9018160,Education
Slovakia,25,47,2015,Touch4IT,437747,2064141,Technology
Italy,4,8,1986,TattaHome.com,595800,2800000,Interiors
UK,37,90,2006,Speechmatics,1541070,7161145,Technology
Spain,20,118,2012,Samy Road,4163750,19458114,Advertising
Italy,6,9,2006,Prometeo,766510,3580500,Support Services
UK,65,260,2015,Dialectica,3688264,17078846,Management Consulting
UK,32,62,2009,Wolf & Badger,2508842,11604670,Ecommerce
France,28,94,2009,Eco CO2,1982251,9220216,Support Services
Hungary,3,20,2011,Lakógép Kft.,6328462,25335854,Construction
Germany,9,20,2017,Beyer Betonwaren,443694,2062749,Construction
France,12,42,2011,Fill Up Média,1081079,4999802,Media
Italy,4,6,1984,Zara Imballaggi Fabriano,496790,2297210,Industrial Goods
Poland,744,1177,1994,CD Projekt,110835763,468257487,Games industry
Germany,1,10,2015,VPACE Bikes,573145,2643580,Retail
Spain,0,6,2014,Tooltester,790712,3646507,Sales & Marketing
